lat,lng,elev,full_address,date,base_filename
39.907029,-104.961808,1614.08044434,"2143 E 116th Pl, Northglenn, CO 80233, USA",Aug 2012,"data/lat_39.90702,long_-104.961_"
39.972951,-106.767419,2354.22290039,"33900 CO-131, Toponas, CO 80479, USA",Sep 2008,"data/lat_39.97295,long_-106.767_"
39.470999,-104.993139,1728.53979492,"5775-5861 Airport Rd, Littleton, CO 80125, USA",Jul 2008,"data/lat_39.47099,long_-104.993_"
39.304934,-103.818012,1697.22570801,"I-70, Limon, CO 80828, USA",Sep 2011,"data/lat_39.30493,long_-103.818_"
40.136375,-109.029784,1664.73510742,"2621-2917 Co Rd 21, Rangely, CO 81648, USA",Apr 2009,"data/lat_40.13637,long_-109.029_"
40.874619,-105.875497,2544.2590332,"42600-43498 Co Rd 80C, Jelm, CO 82063, USA",Sep 2007,"data/lat_40.87461,long_-105.875_"
39.635405,-104.990235,1644.05615234,"4470-4480 S Bannock St, Englewood, CO 80110, USA",Sep 2014,"data/lat_39.63540,long_-104.990_"
40.351613,-102.908209,1303.08483887,"Co Rd 54, Otis, CO 80743, USA",Jul 2008,"data/lat_40.35161,long_-102.908_"
38.51835,-107.009646,2303.43530273,"34356-35382 US-50, Gunnison, CO 81230, USA",Sep 2012,"data/lat_38.51835,long_-107.009_"
38.973049,-108.463398,1427.87329102,"2896-2988 CO-141, Whitewater, CO 81527, USA",Jul 2012,"data/lat_38.97304,long_-108.463_"
37.324182,-108.152614,2359.18481445,"3500 US-160, Hesperus, CO 81326, USA",Jun 2012,"data/lat_37.32418,long_-108.152_"
39.646306,-104.803503,1733.18078613,"3855 S Alicia Pkwy, Aurora, CO 80013, USA",Oct 2014,"data/lat_39.64630,long_-104.803_"
39.23303,-105.201064,1993.76306152,"8657-9015 CO-67, Sedalia, CO 80135, USA",Jun 2015,"data/lat_39.23303,long_-105.201_"
37.50271,-105.806583,2297.17260742,"12764-12930 Rd 5 S, Alamosa, CO 81101, USA",Oct 2012,"data/lat_37.50271,long_-105.806_"
39.564607,-104.527526,1836.26550293,"40301-40577 County Line Rd, Elizabeth, CO 80107, USA",Jul 2012,"data/lat_39.56460,long_-104.527_"
39.667442,-104.839197,1715.2923584,"S Ursula St, Aurora, CO 80014, USA",Sep 2012,"data/lat_39.66744,long_-104.839_"
39.293375,-102.70766,1372.2791748,"I-70, Vona, CO 80861, USA",Oct 2012,"data/lat_39.29337,long_-102.707_"
39.571907,-105.072039,1671.64880371,"7901-7913 S Otis Ct, Littleton, CO 80128, USA",Oct 2011,"data/lat_39.57190,long_-105.072_"
40.112041,-105.123323,1537.93347168,"7599 Cresthill Dr, Longmont, CO 80504, USA",Aug 2012,"data/lat_40.11204,long_-105.123_"
39.585308,-105.05468,1662.48986816,"7221-7231 S Sheridan Ct, Littleton, CO 80128, USA",Oct 2011,"data/lat_39.58530,long_-105.054_"
40.123626,-104.962161,1505.55834961,"4894-4898 Wren Ct, Longmont, CO 80504, USA",Sep 2012,"data/lat_40.12362,long_-104.962_"
40.624541,-103.463646,1281.73083496,"6000-6408 CO-14, Sterling, CO 80751, USA",Jul 2015,"data/lat_40.62454,long_-103.463_"
40.624497,-103.468462,1299.5300293,"5313-5999 CO-14, Colorado, USA",Jul 2015,"data/lat_40.62449,long_-103.468_"
39.944596,-104.933377,1615.35180664,"13648 Cherry St, Thornton, CO 80602, USA",Aug 2012,"data/lat_39.94459,long_-104.933_"
40.679458,-102.884927,1303.90075684,"36470-36912 US-6, Fleming, CO 80728, USA",Jul 2008,"data/lat_40.67945,long_-102.884_"
39.605709,-105.037516,1636.48632812,"3 Village Ct, Littleton, CO 80123, USA",Sep 2012,"data/lat_39.60570,long_-105.037_"
39.592277,-105.042397,1641.1809082,"50-98 Arabian Pl, Columbine Valley, CO 80123, USA",Sep 2012,"data/lat_39.59227,long_-105.042_"
39.773445,-104.929079,1604.95703125,"5051 E 41st Ave, Denver, CO 80216, USA",Aug 2014,"data/lat_39.77344,long_-104.929_"
39.386095,-104.699028,1981.34729004,"1536-1616 Columbine Dr, Franktown, CO 80116, USA",Sep 2007,"data/lat_39.38609,long_-104.699_"
38.297873,-104.567584,1448.23388672,"CO-47, Pueblo, CO 81001, USA",Jul 2012,"data/lat_38.29787,long_-104.567_"
40.396811,-105.168287,1575.72265625,"135-159 N Co Rd 23H, Loveland, CO 80537, USA",Jun 2012,"data/lat_40.39681,long_-105.168_"
39.583478,-104.417338,1777.83776855,"7070 Kiowa-Bennett Rd, Bennett, CO 80102, USA",Aug 2012,"data/lat_39.58347,long_-104.417_"
39.173602,-108.137068,1694.25146484,"Ke 1/2 Rd, Mesa, CO 81643, USA",Aug 2012,"data/lat_39.17360,long_-108.137_"
37.941988,-107.668775,2951.95800781,"Million Dollar Hwy, Ridgway, CO 81432, USA",Oct 2008,"data/lat_37.94198,long_-107.668_"
37.198558,-107.681744,2098.88793945,"5643-5773 Co Rd 510, Ignacio, CO 81137, USA",Feb 2008,"data/lat_37.19855,long_-107.681_"
39.801472,-102.786688,1323.125,"1-1999 County Rd 16, Yuma, CO 80759, USA",Jun 2008,"data/lat_39.80147,long_-102.786_"
39.575642,-104.768645,1800.63867188,"18759-18899 E Long Ave, Centennial, CO 80016, USA",Jun 2012,"data/lat_39.57564,long_-104.768_"
39.45397,-107.145045,2210.1809082,"406 Panorama Dr, Carbondale, CO 81623, USA",Oct 2012,"data/lat_39.45397,long_-107.145_"
40.580496,-103.267463,1216.734375,"15733-16999 Co Rd 22, Sterling, CO 80751, USA",Nov 2007,"data/lat_40.58049,long_-103.267_"
38.269489,-103.170661,1309.89611816,"2-2998 Co Rd 19, Eads, CO 81036, USA",Aug 2012,"data/lat_38.26948,long_-103.170_"
38.15696,-103.748138,1299.12792969,"2610 CO-71, Ordway, CO 81063, USA",Jul 2012,"data/lat_38.15696,long_-103.748_"
37.941803,-107.668875,2952.37963867,"Million Dollar Hwy, Ridgway, CO 81432, USA",Oct 2008,"data/lat_37.94180,long_-107.668_"
40.396105,-105.182925,1651.13720703,"7333 Leslie Dr, Loveland, CO 80537, USA",Sep 2007,"data/lat_40.39610,long_-105.182_"
39.767933,-105.179569,1688.40234375,"15719-16095 W 37th Dr, Golden, CO 80401, USA",Oct 2012,"data/lat_39.76793,long_-105.179_"
39.160207,-104.496396,2194.88818359,"20001-20209 Co Rd 37, Elbert, CO 80106, USA",Aug 2015,"data/lat_39.16020,long_-104.496_"
40.589462,-104.850792,1543.33398438,"40501 Co Rd 23, Ault, CO 80610, USA",Sep 2007,"data/lat_40.58946,long_-104.850_"
38.020772,-105.026773,2662.57568359,"9121-9405 CO-78, Beulah, CO 81023, USA",Jun 2009,"data/lat_38.02077,long_-105.026_"
39.595172,-105.06977,1682.03527832,"6650 W Coal Mine Ave, Littleton, CO 80123, USA",Oct 2011,"data/lat_39.59517,long_-105.069_"
38.944363,-104.670954,2117.25268555,"7675-7735 Maverick Rd, Colorado Springs, CO 80908, USA",Sep 2014,"data/lat_38.94436,long_-104.670_"
39.988802,-104.887758,1566.13928223,"16073 Willow Way, Brighton, CO 80602, USA",Oct 2012,"data/lat_39.98880,long_-104.887_"
39.328801,-106.956579,2125.90380859,"1341-1533 Lower River Rd, Snowmass, CO 81654, USA",Oct 2012,"data/lat_39.32880,long_-106.956_"
39.322762,-106.944145,2148.93237305,"2270-2444 Lower River Rd, Snowmass, CO 81654, USA",Oct 2012,"data/lat_39.32276,long_-106.944_"
39.604601,-105.069727,1675.93139648,"6548-6598 W Fair Dr, Littleton, CO 80123, USA",Aug 2012,"data/lat_39.60460,long_-105.069_"
38.27685,-104.582291,1443.33349609,"1611 E 10th St, Pueblo, CO 81001, USA",Jun 2012,"data/lat_38.27685,long_-104.582_"
