lat,lng,elev,city,county,state,full_address,date
40.511864,-105.25068,1693.32421875,Loveland,Larimer County,Colorado,"12892 N Co Rd 27, Loveland, CO 80538, USA",Sep 2012
38.117917,-107.851766,2410.37158203,Ridgway,Ouray County,Colorado,"3978-3990 CO-62, Ridgway, CO 81432, USA",Sep 2008
39.837384,-106.231738,2435.39501953,Silverthorne,Summit County,Colorado,"2001-2541 Heeney Rd, Silverthorne, CO 80498, USA",Sep 2009
40.051121,-105.24427,1622.62866211,Boulder,Boulder County,Colorado,"4200-4398 47th St, Boulder, CO 80301, USA",Jul 2012
38.232863,-102.724016,1190.93469238,Wiley,Prowers County,Colorado,"41001-41099 US-287, Wiley, CO 81092, USA",Jul 2012
40.542333,-104.922768,1513.81567383,Windsor,Weld County,Colorado,"37355 Northwest Dr, Windsor, CO 80550, USA",Jul 2012
40.535831,-104.927125,1512.75915527,Windsor,Weld County,Colorado,"36880-36998 Co Rd 15, Windsor, CO 80550, USA",Jun 2012
40.53808,-104.926034,1513.82373047,Windsor,Weld County,Colorado,"7014-7154 Co Rd 76, Windsor, CO 80550, USA",Jul 2012
40.596948,-105.004194,1513.2635498,Waterglen,Fort Collins,Larimer County,"802 Waterglen Dr, Fort Collins, CO 80524, USA",Jun 2012
38.408816,-104.614021,1512.76464844,Pueblo County,Colorado,United States,"US-85, Pueblo, CO 81008, USA",Aug 2015
37.72841,-107.742261,3077.00415039,San Juan County,Colorado,United States,"US-550, Durango, CO 81301, USA",Dec 2007
39.76863,-104.867658,1611.2701416,Stapleton,Denver,Denver County,"10369-10483 Smith Rd, Denver, CO 80239, USA",Aug 2015
40.523681,-104.812843,1485.79516602,Eaton,Weld County,Colorado,"13000-13688 Co Rd 74, Eaton, CO 80615, USA",Jul 2015
37.401548,-105.085465,2497.73852539,La Veta,Huerfano County,Colorado,"14520-14564 CO-12, La Veta, CO 81055, USA",Aug 2012
37.654964,-104.790564,1862.81933594,Walsenburg,Huerfano County,Colorado,"13438 I-25, Walsenburg, CO 81089, USA",Aug 2015
40.080572,-104.616688,1508.60058594,Weld County,Colorado,United States,"Unnamed Road, Hudson, CO 80642, USA",Sep 2007
40.392918,-104.556083,1407.24304199,Weld County,Colorado,United States,"US-34, Kersey, CO 80644, USA",Jul 2015
40.247538,-104.672216,1472.79602051,Weld County,Colorado,United States,"Beebe Draw Farms Pkwy, Platteville, CO 80651, USA",Sep 2007
37.651069,-104.801308,1881.58410645,Huerfano County,Colorado,United States,"CO-69, Walsenburg, CO 81089, USA",Jul 2012
39.625401,-105.258164,2185.87890625,Indian Hills,Jefferson County,Colorado,"22759 Mountain Spirit Way, Indian Hills, CO 80454, USA",Aug 2012
38.089704,-106.134984,2347.30102539,Saguache,Saguache County,Colorado,"244 Gunnison Ave, Saguache, CO 81149, USA",Sep 2012
39.746389,-105.302692,1895.65405273,Jefferson County,Colorado,United States,"US-6, Golden, CO 80401, USA",Jul 2012
39.165242,-108.635931,1417.98999023,Grand Junction,Mesa County,Colorado,"1126 22 1/2 Rd, Grand Junction, CO 81505, USA",Jul 2012
38.728539,-107.969608,1573.96740723,Delta,Delta County,Colorado,"5096-5210 2110 Ln, Delta, CO 81416, USA",Aug 2012
39.072016,-106.466056,3028.5546875,Buena Vista,Lake County,Colorado,"12263 CO-82, Buena Vista, CO 81211, USA",Aug 2015
38.92999,-107.905678,2073.02880859,Cedaredge,Delta County,Colorado,"24563 Tannin Rd, Cedaredge, CO 81413, USA",Aug 2012
38.607194,-107.981694,1633.65893555,Montrose,Montrose County,Colorado,"404 S 3rd St, Montrose, CO 81401, USA",Aug 2012
40.319457,-104.869645,1461.52770996,Milliken,Weld County,Colorado,"9836 Co Rd 46, Milliken, CO 80543, USA",Jul 2012
40.812246,-104.764143,1642.69274902,Weld County,Colorado,United States,"Co Rd 114, Nunn, CO 80648, USA",Oct 2007
39.907029,-104.961808,1614.08044434,Northglenn,Adams County,Colorado,"2143 E 116th Pl, Northglenn, CO 80233, USA",Aug 2012
39.972951,-106.767419,2354.22290039,Toponas,Routt County,Colorado,"33900 CO-131, Toponas, CO 80479, USA",Sep 2008
39.470999,-104.993139,1728.53979492,Littleton,Douglas County,Colorado,"5775-5861 Airport Rd, Littleton, CO 80125, USA",Jul 2008
39.304934,-103.818012,1697.22570801,Elbert County,Colorado,United States,"I-70, Limon, CO 80828, USA",Sep 2011
40.136375,-109.029784,1664.73510742,Rangely,Rio Blanco County,Colorado,"2621-2917 Co Rd 21, Rangely, CO 81648, USA",Apr 2009
40.874619,-105.875497,2544.259033203125,Jelm,Larimer County,Colorado,"42600-43498 Co Rd 80C, Jelm, CO 82063, USA",Sep 2007
39.635405,-104.990235,1644.05615234375,Englewood,Arapahoe County,Colorado,"4470-4480 S Bannock St, Englewood, CO 80110, USA",Sep 2014
40.351613,-102.908209,1303.084838867188,Washington County,Colorado,United States,"Co Rd 54, Otis, CO 80743, USA",Jul 2008
38.51835,-107.009646,2303.435302734375,Gunnison,Gunnison County,Colorado,"34356-35382 US-50, Gunnison, CO 81230, USA",Sep 2012
38.973049,-108.463398,1427.873291015625,Whitewater,Mesa County,Colorado,"2896-2988 CO-141, Whitewater, CO 81527, USA",Jul 2012
37.324182,-108.152614,2359.184814453125,Hesperus,La Plata County,Colorado,"3500 US-160, Hesperus, CO 81326, USA",Jun 2012
39.646306,-104.803503,1733.180786132812,Mission Viejo,Aurora,Arapahoe County,"3855 S Alicia Pkwy, Aurora, CO 80013, USA",Oct 2014
39.23303,-105.201064,1993.763061523438,Sedalia,Douglas County,Colorado,"8657-9015 CO-67, Sedalia, CO 80135, USA",Jun 2015
37.50271,-105.806583,2297.172607421875,Alamosa,Alamosa County,Colorado,"12764-12930 Rd 5 S, Alamosa, CO 81101, USA",Oct 2012
39.564607,-104.527526,1836.265502929688,Elizabeth,Arapahoe County,Colorado,"40301-40577 County Line Rd, Elizabeth, CO 80107, USA",Jul 2012
39.667442,-104.839197,1715.292358398438,Aurora,Arapahoe County,Colorado,"S Ursula St, Aurora, CO 80014, USA",Sep 2012
39.293375,-102.70766,1372.279174804688,Kit Carson County,Colorado,United States,"I-70, Vona, CO 80861, USA",Oct 2012
39.571907,-105.072039,1671.648803710938,Columbine Hills,Littleton,Jefferson County,"7901-7913 S Otis Ct, Littleton, CO 80128, USA",Oct 2011
40.112041,-105.123323,1537.933471679688,Longmont,Boulder County,Colorado,"7599 Cresthill Dr, Longmont, CO 80504, USA",Aug 2012
